title,release_date,director,cast
Everybody Wants Some!!,2016,Richard Linklater,"Blake Jenner, Juston Street, Ryan Guzman, Tyler Hoechlin, Wyatt Russell, Glen Powell, Zoey Deutch"
My Big Fat Greek Wedding 2,2016,Kirk Jones,"Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan, Andrea Martin, Gia Carides, Joey Fatone, Elena Kampouris"
Eye in the Sky,2016,Gavin Hood,"Helen Mirren, Alan Rickman, Aaron Paul, Phoebe Fox, Barkhad Abdi, Iain Glen"
Batman v. Superman: Dawn of Justice,2016,Zack Snyder,"Ben Affleck, Scoot McNairy, Laurence Fishburne, Diane Lane, Jeremy Irons, Amy Adams, Gal Gadot, Jesse Eisenberg, Henry Cavill, Holly Hunter"
Allegiant,2016,Robert Schwentke,"Shailene Woodley, Theo James, Zoe Kravitz, Miles Teller, Ansel Elgort, Naomi Watts, Jeff Daniels, Octavia Spencer"
Creative Control,2016,Benjamin Dickinson,"Benjamin Dickinson, Nora Zehetner, Dan Gill, Alexia Rasmussen, Reggie Watts"
"Brothers Grimsby, The",2016,Louis Leterrier,"Sacha Baron Cohen, Mark Strong, Isla Fisher, Rebel Wilson, Ian McShane, Penelope Cruz"
10 Cloverfield Lane,2016,Dan Trachtenberg,"Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
"Shawshank Redemption, The",1994,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows"
Pay It Forward,2000,Mimi Leder,"Haley Joel Osment, Kevin Spacey, Helen Hunt, James Caviezel, Jay Mohr, Jon Bon Jovi, Angie Dickenson"
"Score, The",2001,Frank Oz,"Robert De Niro, Edward Norton, Angela Bassett, Marlon Brando"
"Bug's Life, A",1998,"John Lasseter, Andrew Stanton","(voice) Dave Foley, Joe Ranft, Hayden Panettiere, Denis Leary, Richard Kind, Madeline Kahn, David Hyde Pierce, Bonnie Hun, Jonathan Harris, Brad Garrett, Phyllis Diller, Julia Louis-Dreyfus, Kevin Spacey, John Ratzenberger"
Star Trek VI: The Undiscovered Country,1991,Nicholas Meyer,"William Shatner, Leonard Nimoy, DeForest Kelley, Christopher Plummer, David Warner, Kim Cattrall"
Chaos Theory,2008,Marcos Siega,"Ryan Reynolds, Emily Mortimer, Stuart Townsend, Matreya Fedor"
Scrooge,,Ronald Neame,"Albert Finney, Alec Guinness, David Collings, Edith Evans, Kenneth More, Paddy Stone, Michael Medwin"
"Weather Man, The",2005,Gore Verbinski,"Nicolas Cage, Michael Caine, Hope Davis, Gemmenne de la Pena, Nicholas Hoult, Michael Rispoli, Gil Bellows"
Philadelphia,1993,Jonathan Demme,"Tom Hanks, Denzel Washington, Jason Robards, Mary Steenburgen, Antonio Banderas, Lisa Summerour, Joanne Woodward"
Kansas City,1996,Robert Altman,"Jennifer Jason Leigh, Miranda Richardson, Harry Belafonte, Michael Murphy, Dermot Mulroney, Steve Buscemi, Brooke Smith, Jane Adams"
"Lord of the Rings, The: The Return of the King",2003,Peter Jackson,"Elijah Wood, Andy Serkis, Bernard Hill, Miranda Otto, Orlando Bloom, Dominic Monaghan, Billy Boyd, John Rhys-Davies, Liv Tyler, Sean Astin, Viggo Mortensen, Ian McKellen, John Noble"
"Fugitive, The",1993,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Jeroen Krabbe, Andreas Katsulas"
Flawless,2008,Michael Radford,"Demi Moore, Michael Caine, Joss Ackland, Lambert Wilson, Derren Nesbitt"
To Kill a Mockingbird,,Robert Mulligan,"Gregory Peck, Mary Badham, Phillip Alford, James Anderson, Robert Duvall, Brock Peters, Estelle Evans, Collin Wilcox, William Windom, John Megna"
"Ballad of Jack and Rose, The",2005,Rebecca Miller,"Daniel Day-Lewis, Catherine Keener, Camilla Belle, Paul Dano, Ryan McDonald, Beau Bridges, Jason Lee, Jena Malone"
What Just Happened?,2008,Barry Levinson,"Robert De Niro, Sean Penn, Bruce Willis, Stanley Tucci, John Turturro, Robin Wright Penn, Kristen Stewart, Catherine Keener, Michael Wincott"
Troy,2004,Wolfgang Petersen,"Brad Pitt, Julian Glover, Saffron Burrows, Julie Christie, Brian Cox, Brendan Gleeson, Peter O'Toole, Sean Bean, Diane Kruger, Orlando Bloom, Eric Bana, Rose Byrne"
"Usual Suspects, The",,Bryan Singer,"Gabriel Byrne, Suzy Amis, Giancarlo Esposito, Pete Postlethwaite, Chazz Palminteri, Benicio Del Toro, Kevin Pollak, Stephen Baldwin, Kevin Spacey, Dan Hedaya"
Honeydripper,2007,John Sayles,"Danny Glover, Lisa Gay Hamilton, Yaya DaCosta, Charles S. Dutton, Vondie Curtis-Hall, Gary Clark Jr., Stacy Keach"
Boyfriends and Girlfriends,,Eric Rohmer,"Emmanuelle Chaulet, François-Eric Gendron, Anne-Laure Meury, Sophie Renoir, Eric Viellard"
Before I Fall,2017,Ry Russo-Young,"Zoey Deutch, Halston Sage, Medalion Rahimi, Cynthy Wu, Elena Kampouris, Jennifer Beals"
Logan,2017,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook, Stephen Merchant, Richard E. Grant"
Get Out,2017,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener, Caleb Landry Jones, LilRel Howery"
"Great Wall, The",2017,Zhang Yimou,"Matt Damon, Jing Tian, Pedro Pascal, Willem Dafoe, Andy Lau"
Fist Fight,2017,Richie Keen,"Charlie Day, Ice Cube, Tracy Morgan, Jillian Bell, Christina Hendricks, Dean Norris, JoAnna Garcia Swisher"
"Cure for Wellness, A",2017,Gore Verbinski,"Dane DeHaan, Jason Isaacs, Mia Goth"
"Red Turtle, The",2017,Michael Dudok de Wit,n/a
"United Kingdom, A",2017,Amma Asante,"David Oyelowo, Rosamund Pike, Terry Pheto, Vusi Kunene, Jack Davenport, Tom Felton"
John Wick: Chapter Two,2017,Chad Stahelski,"Keanu Reeves, Riccardo Scamarcio, Common, Ruby Rose, Ian McShane, Claudia Gerini"
Fifty Shades Darker,2017,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Bella Heathcote, Kim Basinger, Marcia Gay Harden"
Sundown,2022,Michel Franco,"Tim Roth, Charlotte Gainsbourg, Iazua Larios, Henry Goodman, Albertine Kotting McMillan, Samuel Bottomley"
Rifkin's Festival,2022,Woody Allen,"Wallace Shawn, Gina Gershon, Elena Anaya, Louis Garrel, Sergi Lopez, Christoph Waltz, Richard Kind"
About Pie,2021,Joshua M. Lester,"Joshua M. Lester, Skye LaFontaine, Greg Hirshland, Amanda Westlake, Colette Freedman, Julia Fae, Ed Regine"
"King's Daughter, The",2022,Sean McNamara,"Pierce Brosnan, William Hurt, Kaya Scodelario, Benjamin Walker, Ben Lloyd-Hughes, Bingbing Fan, Pablo Schreiber, Crystal Clarke"
Defending Your Life,1991,Albert Brooks,"Albert Brooks, Meryl Streep, Rip Torn, Lee Grant, Buck Henry"
Scream,2022,"Matt Bettinelli-Olpin, Tyler Gillett","Melissa Barrera, Jenna Ortega, Jack Quaid, Neve Campbell, Courteney Cox, David Arquette, Marley Shelton, Mikey Madison, Dylan Minnette, Skeet Ulrich, Roger L. Jackson"
Superman IV: The Quest for Peace,1987,Sidney J. Furie,"Christopher Reeve, Gene Hackman, Margot Kidder, Mariel Hemingway, Jackie Cooper, Sam Wanamaker, Mark Pillow, Mark McClure, Jon Cryer"
"355, The",2022,Simon Kinberg,"Jessica Chastain, Lupita Nyong’o, Penelope Cruz, Diane Kruger, Bingbing Fan, Sebastian Stan, Edgar Ramirez"
Parallel Mothers,2021,Pedro Almodovar,"Penelope Cruz, Milena Smit, Rossy De Palma, Aitana Sánchez-Gijón, Israel Elejalde"
"Tragedy of Macbeth, The",2021,Joel Coen,"Denzel Washington, Frances McDormand, Bertie Carvel, Brendan Gleeson, Corey Hawkins, Harry Melling, Kathryn Hunter"
G.I. Joe: Retaliation,2013,Jon M. Chu,"Dwayne Johnson, Ray Park, Channing Tatum, Adrianne Palicki, D.J. Cotrona, Ray Stevenson, Elodie Yung, Byung-hun Lee, Jonathan Pryce, Bruce Willis"
Spring Breakers,2013,Harmony Korine,"James Franco, Selena Gomez, Vanessa Hudgens, Ashley Benson, Rachel Korine"
Olympus Has Fallen,2013,Antoine Fuqua,"Gerard Butler, Aaron Eckhart, Dylan McDermott, Rick Yune, Morgan Freeman, Angela Bassett, Melissa Leo, Radha Mitchell"
Admission,2013,Paul Weitz,"Tina Fey, Paul Rudd, Wallace Shawn, Michael Sheen, Lily Tomlin, Gloria Reuben, Nat"
"Call, The",2013,Brad Anderson,"Halle Berry, Abigail Breslin, Morris Chestnut, Michael Eklund"
"Incredible Burt Wonderstone, The",2013,Don Scardino,"Steve Carell, Steve Buscemi, Olivia Wilde, Jim Carrey, James Gandolfini, Alan Arkin"
Stoker,2013,Chan-wook Park,"Mia Wasikowska, Nicole Kidman, Matthew Goode, Jacki Weaver, Dermot Mulroney"
Dead Man Down,2013,Niels Arden Oplev,"Colin Farrell, Noomi Rapace, Terrence Howard, Dominic Cooper, Isabelle Huppert, F. Murray Abraham"
Oz the Great and Powerful,2013,Sam Raimi,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams, Zach Braff, Bill Cobbs, Joey King, Tony Cox"
Jack the Giant Slayer,2013,Bryan Singer,"Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor, Stanley Tucci, Eddie Marsan, Ian McShane, Bill Nighy"
Moonlight Mile,2002,Brad Silberling,"Jake Gyllenhaal, Dustin Hoffman, Susan Sarandon, Holly Hunter, Ellen Pompeo, Dabney Coleman"
Three Kings,1999,David O. Russell,"George Clooney, Mark Wahlberg, Ice Cube, Spike Jonze, Nora Dunn, Cliff Curtis, Saïd Taghmaoui"
Breaking the Waves,1996,Lars von Trier,"Emily Watson, Stellan Skarsgard, Katrin Cartlidge, Jean-Marc Barr, Adrian Rawlins, Udo Kier"
Death at a Funeral,2007,Frank Oz,"Matthew Macfadyen, Peter Egan, Peter Vaughan, Rupert Graves, Kris Marshall, Jane Asher, Alan Tudyk, Daisy Donovan, Ewen Bremmer, Andy Nyman, Keeley Hawes, Peter Dinklage"
Bend it Like Beckham,2003,Gurinder Chadha,"Parminder K. Nagra, Keira Knightley, Jonathan Rhys-Meyers, Anupam Kher, Archie Kher, Shaheen Khan, Ameet Chana"
Kekexili: Mountain Patrol,2005,Lu Chuan,"Doubuji, Lei Zhang, Liang Qi"
Red Eye,2005,Wes Craven,"Rachel McAdams, Cillian Murphy, Brian Cox"
In the Bedroom,2001,Todd Field,"Tom Wilkinson, Sissy Spacek, Nick Stahl, Marisa Tomei, Deborah Derecktor, Veronica Cartwright"
Flirting with Disaster,1996,David O. Russell,"Ben Stiller, Josh Brolin, Richard Jenkins, Lily Tomlin, Alan Alda, George Segal, Mary Tyler Moore, Tea Leoni, Patricia Arquette, Celia Weston"
Nil by Mouth,,Gary Oldman,"Ray Winstone, Kathy Burke, Charlie Creed-Miles, Laila Morse, Edna Dore, Jamie Forman"
Searching,2018,Aneesh Chaganty,"John Cho, Debra Messing, Michelle La, Joseph Lee, Sara Sohn"
Willow,1988,Ron Howard,"Warwick Davis, Val Kilmer, Joanne Whalley, Jean Marsh, Patricia Hayes, Billy Barty, Pat Roach, Gavin O’Herlihy"
Kin,2018,"Jonathan Baker, Josh Baker","Myles Truitt, Jack Raynor, Zoe Kravitz, James Franco, Dennis Quaid"
Boarding School,2018,Boaz Yakin,"Luke Prael, Sterling Jerins, Will Patton, Nicholas J. Oliveri, Tammy Blanchard, Christopher Dylan White, Matthew Miniero, Samantha Mathis"
Operation Finale,2018,Chris Weitz,"Oscar Isaac, Ben Kingsley, Lior Raz, Melanie Laurent, Nick Kroll, Joe Alwyn, Haley Lu Richardson, Michael Aronov"
Arizona,2018,Jonathan Watson,"Rosemarie DeWitt, Danny McBride, Lolli Sorenson, Luke Wilson, Elizabeth Gillies"
"Happytime Murders, The",2018,Brian Henson,"Melissa McCarthy, Bill Barretta, Elizabeth Banks, Maya Rudolph, Leslie David Baker, Joel McHale"
Better Off Dead,1985,Savage Steve Holland,"John Cusack, David Ogden Stiers, Kim Darby, Diane Franklin, Amanda Wyss, Aaron Dozier, Curtis Armstrong, Daniel Schneider"
Support the Girls,2018,Andrew Bujalski,"Regina Hall, Haley Lu Richardson, Shayna McHayle, James Le Gros, AJ Michalka, Dylan Gelula"
Around the World in 80 Days,,Michael Anderson,"David Niven, Cantinflas, Shirley MacLaine, Robert Newton"
Sleuth,2007,Kenneth Branagh,"Michael Caine, Jude Law"
Loser,2000,Amy Heckerling,"Jason Biggs, Mena Suvari, Greg Kinnear, Thomas Sadoski, Zak Orth, Jimmi Simpson"
"Prestige, The",2006,Christopher Nolan,"Hugh Jackman, Christian Bale, Michael Caine, Scarlett Johansson Rebecca Hall, Piper Perabo, David Bowie"
Criminal,2004,Gregory Jacobs,"John C. Reilly, Diego Luna, Maggie Gyllenhaal, Jonathan Tucker, Peter Mullan, Zitto Kazann"
Cutthroat Island,1995,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin, Patrick Malahide"
Bandit Queen,1995,Shekhar Kapur,"Seema Biswas, Nirmal Pandey, Manoj Bajpai, Rajesh Vivek, Raghuvir Yadav, Govind Namdeo"
Harry Potter and the Order of the Phoenix,2007,David Yates,"Daniel Radcliffe, Evanna Lynch, Katie Leung, Helena Bonham Carter, Emma Thompson, Robbie Coltrane, Alan Rickman, Maggie Smith, Brendan Gleeson, Ralph Fiennes, Gary Oldman, Imelda Staunton, Michael Gambon, Emma Watson, Rupert Grint, Bonnie Wright"
Starter for Ten,2007,Tom Vaughan,"James McAvoy, Benedict Cumberbatch, Alice Eve, Elaine Tan, Rebecca Hall"
Waking Life,2001,Richard Linklater,Wiley Wiggins
Thank You for Smoking,2006,Jason Reitman,"Aaron Eckhart, Kim Dickens, Robert Duvall, William H. Macy, David Koechner, Katie Holmes, Sam Elliott, Cameron Bright, Maria Bello, Rob Lowe"
"Emoji Movie, The",2017,Tony Leondis,"T.J. Miller, James Corden, Anna Faris, Maya Rudolph, Steven Wright, Jennifer Coolidge, Patrick Stewart, Jake T. Austin, Tati Gabrielle"
Atomic Blonde,2017,David Leitch,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman, Toby Jones, James Faulkner, Roland Moller, Sofia Boutella"
Girls Trip,2017,Malcolm D. Lee,"Regina Hall, Jada Pinkett Smith, Tiffany Haddish, Larenz Tate, Mike Colter, Kate Walsh, Queen Latifah"
Valerian and the City of a Thousand Planets,2017,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna, Ethan Hawke"
Landline,2017,Gillian Robespierre,"Jenny Slate, Abby Quinn, John Turturro, Edie Falco, Jay Duplass, Finn Wittrock"
"Midwife, The",2017,Martin Provost,"Catherine Frot, Catherine Deneuve, Olivier Gourmet, Quentin Dolmaire"
Dunkirk,2017,Christopher Nolan,"Fionn Whitehead, Mark Rylance, Tom Hardy, Harry Styles, Cillian Murphy, Kenneth Branagh"
Lost in Paris,2017,"Fiona Gordon, Dominque Abel","Fiona Gordon, Dominique Abel, Emmanuelle Riva"
War for the Planet of the Apes,2017,Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval, Amiah Miller, Terry Notary, Ty Olsson"
"Big Sick, The",2017,Michael Showalter,"Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano, Anumpam Kher, Zenobia Shroff"
Shark Tale,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman","(voices) Will Smith, Robert De Niro, Renée Zellweger, Jack Black, Angelena Jolie, Martin Scorsese"
Girl with a Pearl Earring,2003,Peter Webber,"Scarlett Johansson, Colin Firth, Tom Wilkinson, Judy Parfitt, Cillian Murphy, Essie Davis"
Killing Zoe,,Roger Avary,"Eric Stoltz, Julie Delpy, Jean-Hugues Anglade"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Jonathan Pryce"
Peter's Friends,1992,Kenneth Branagh,"Kenneth Branagh, Emma Thompson, Hugh Laurie, Rita Rudner"
Mission: Impossible III,2006,J.J. Abrams,"Tom Cruise, Maggie Q, Jonathan Rhys Meyers, Keri Russell, Laurence Fishburne, Michelle Monaghan, Billy Crudip, Ving Rhames, Philip Seymour Hoffman, Simon Pegg"
Silver City,2004,John Sayles,"Danny Huston, James Gammon, Sal Lopez, Michael Murphy, Kris Kristofferson, Billy Zane, Daryl Hannah, Maria Bello, Richard Dreyfuss, Chris Cooper, Tim Roth"
V for Vendetta,2006,James McTeigue,"Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry, John Hurt, Tim Pigott-Smith"
Sabrina,1995,Sydney Pollack,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, John Wood, Richard Crenna, Angie Dickenson, Lauren Holly"
Pirates of the Caribbean: Dead Man's Chest,2006,Gore Verbinski,"Johnny Depp, Jonathan Pryce, Naomie Harris, Kevin McNally, Jack Davenport, Stellan Skarsgård, Bill Nighy, Keira Knightley, Orlando Bloom, Tom Hollander"
King Richard,2021,Reinaldo Marcus Green,"Will Smith, Aunjanue Ellis, Jon Bernthal, Saniyya Sidney, Demi Singleton, Tony Goldwyn, Mikayla Lashae Bartholomew, Daniele Lawson, Layla Crawford"
tick...tick...Boom!,2021,Lin-Manuel Miranda,"Andrew Garfield, Alexandra Shipp, Robin de Jesus, Vanessa Hudgens, Joshua Henry, Jonathan Marc Sherman, Judith Light, Bradley Whitford"
Ghostbusters: Afterlife,2021,Jason Reitman,"Finn Wolfhard, Ernie Hudson, Dan Aykroyd, Bill Murray, Celeste O’Connor, Logan Kim, Paul Rudd, Carrie Coon, McKenna Grace, Harold Ramis"
Belfast,2021,Kenneth Branagh,"Caitriona Balfe, Jamie Dornan, Jude Hill, Judi Dench, Ciaran Hinds, Lewis McAskie, Lara McDonnell"
Red Notice,2021,Rawson Marshall Thurber,"Dwayne Johnson, Ryan Reynolds, Gal Gadot, Ritu Arya"
"Beta Test, The",2021,"Jim Cummings, PJ McCabe","Jim Cummings, Virginia Newcomb, PJ McCabe, Jessie Barr, Jacqueline Doke"
Eternals,2021,Chloe Zhao,"Gemma Chan, Barry Keoghan, Lauren Ridloff, Brian Tyree Henry, Lia McHugh, Kumail Nanjiani, Kit Harrington, Salma Hayek, Angelina Jolie, Richard Madden, Don Lee"
Plan 9 from Outer Space,,Edward D. Wood Jr.,"Gregory Walcott, Mona McKinnon, Duke Moore, Tom Keene, Tor Johnson, Dudley Manlove, Joanna Lee, John Breckinridge, Lyle Talbot, Vampira, Bela Lugosi, Criswell"
Last Night in Soho,2021,Edgar Wright,"Thomasin McKenzie, Anya Taylor-Joy, Matt Smith, Diana Rigg, Terence Stamp, Michael Ajao, Synnove Karlsen, Rita Tushingham, Margaret Nolan"
Passing,2021,Rebecca Hall,"Tessa Thompson, Ruth Negga, Andre Holland, Bill Camp, Alexander Skarsgård"
Tomorrow Never Dies,1997,Roger Spottiswoode,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh, Teri Hatcher, Gotz Otto, Judi Dench"
Cast Away,2000,Robert Zemeckis,"Tom Hanks, Helen Hunt"
Silk,2007,François Girard,"Michael Pitt, Keira Knightley, Kôji Yakusho, Alfred Molina, Mark Rendall, Sei Ashina"
"Notorious Bettie Page, The",2006,Mary Harron,"Gretchen Mol, Chris Bauer, Jared Harris, Sarah Paulson, Cara Seymour, David Strathairn, Lili Taylor"
When a Stranger Calls,2006,Simon West,"Camilla Belle, Tommy Flanagan, Derek de Lint, Kate Jennings Grant"
"Lock, Stock and Two Smoking Barrels",1999,Guy Ritchie,"Jason Flemyng, Peter McNicholl, Stephen Marcus, Frank Harper, Steve Sweeney, P.H. Moriarty, Lenny McLean, Sting, Vinnie Jones, Steven Mackintosh, Jason Statham, Nick Moran, Dexter Fletcher, Vas Blackwood"
Ghost Dog,2000,Jim Jarmusch,"Forest Whitaker, John Tormey, Cliff Gorman, Henry Silva, Isaach De Bankolé, Tricia Vessey, Victor Argo"
Live Flesh,1998,Pedro Almodovar,"Liberto Rabal, Francesca Neri, Javier Bardem, Angela Molina, Jose Sancho, Penelope Cruz"
About Schmidt,2002,Alexander Payne,"Jack Nicholson, Hope Davis, Dermot Mulroney, June Squibb, Kathy Bates, Howard Hessman"
Ethan Frome,1993,John Madden,"Liam Neeson, Patricia Arquette, Joan Allen"
Some Mother's Son,1996,Terry George,"Helen Mirren, Fionnula Flanagan, Aidan Gillen, David O'Hara, John Lynch, Ciaran Hinds, Geraldine O'Rawe, Grainne Delany"
Black Hawk Down,2002,Ridley Scott,"Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana, William Fichtner, Ewen Bremner, Sam Shepard"
Bound,1996,"Andy Wachowski, Larry Wachowski","Jennifer Tilly, Gina Gershon, Joe Pantoliano, John Ryan, Christopher Meloni, Richard Sarafian"
Seven Samurai,,Akira Kurosawa,"Takashi Shimura, Yoshio Tsuchiya, Keiko Tsushima, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki, Daisuke Kato, Isao Kimura, Toshiro Mifune, Kamatari Fujiwara"
Unforgiven,1992,Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris, Jaimz Woolvett, Saul Rubinek, Frances Fisher, Anna Thomson"
Click,2006,Frank Coraci,"Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff, Henry Winkler, Julie Kavner, Sean Astin, Cameron Monaghan, Jennifer Coolidge"
"Lot Like Love, A",2005,Nigel Cole,"Ashton Kutcher, Amanda Peet, Kathryn Hahn, Kal Penn, Ali Larter, Taryn Manning, Gabriel Mann, Jeremy Sisto"
Strictly Ballroom,1993,Baz Luhrmann,"Paul Mercurio, Tara Morice, Gia Carides, Pat Thompson, Bill Hunter, Barry Otto"
Welcome to Sarajevo,1997,Michael Winterbottom,"Stephen Dillane, Woody Harrelson, Marisa Tomei, Emira Nusevic, Kerry Fox, Goran Visnjic, Emily Lloyd, James Nesbitt"
Election,1999,Alexander Payne,"Matthew Broderick, Reese Witherspoon, Chris Klein, Jessica Campbell, Mark Harelik, Phil Reeves, Molly Hagan, Delaney Driscoll"
King Arthur: Legend of the Sword,2017,Guy Ritchie,"Charlie Hunnam, Jude Law, Djimon Hounsou, Astrid Berges-Frisbey, Aidan Gillen, Eric Bana"
Snatched,2017,Jonathan Levine,"Amy Schumer, Goldie Hawn, Ike Barinholtz, Wanda Sykes, Joan Cusack, Tom Bateman, Oscar Jaenada, Christopher Meloni"
Guardians of the Galaxy Vol. 2,2017,James Gunn,"Chris Pratt, Elizabeth Debicki, Sylvester Stallone, Pom Klementieff, Kurt Russell, Karen Gillan, Michael Rooker, Vin Diesel, Bradley Cooper, Dave Bautista, Zoe Saldana, Sean Gunn"
"Circle, The",2017,James Ponsoldt,"Emma Watson, Tom Hanks, John Boyega, Karen Gillan, Bill Paxton, Glenne Headly, Patton Oswalt, Ellar Coltrane"
Free Fire,2017,Ben Wheatley,"Armie Hammer, Sharlto Copley, Cillian Murphy, Brie Larson, Sam Riley, Michael Smiley, Jack Reynor, Noah Taylor, Babou Ceesay"
"Lost City of Z, The",2017,James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland, Edward Ashley, Angus Macfadyen, Ian McDiarmid, Clive Francis"
"Promise, The",2017,Terry George,"Oscar Isaac, Charlotte Le Bon, Christian Bale, Shohreh Aghdashloo, Angela Sarafya"
Their Finest,2017,Lone Scherfig,"Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston, Paul Ritter, Rachael Stirling, Richard E. Grant, Henry Goodwin"
"Fate of the Furious, The",2017,F. Gary Gray,"Vin Diesel, Kristofer Hivju, Nathalie Emmanuel, Ludacris, Tyrese Gibson, Scott Eastwood, Kurt Russell, Jason Statham, Michelle Rodriguez, Charlize Theron, Dwayne Johnson, Helen Mirren"
Gifted,2017,Marc Webb,"Chris Evans, Lindsay Duncan, McKenna Grace, Octavia Spencer, Jenny Slate"
Certified Copy,2011,Abbas Kiarostami,"Juliette Binoche, William Shimell"
