name,NetWorth_billions,Country,Source,Rank,Age,Industry,company_founded,company_relationship,company_type,demographics_gender,location_region,wealth_type,wealth_how_category,wealth_how_industry,wealth_how_inherited
Dan Wilks,1.1,United States,natural gas,2524,64,Energy,2002,founder,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
Eugene Wu,1.1,Taiwan,finance,2524,75,Finance & Investments,1945,relation,new,male,East Asia,inherited,Financial,Hedge funds,father
Ahmet Nazif Zorlu,1.1,Turkey,diversified,2524,76,Diversified,1953,founder,new,male,Middle East/North Africa,self-made finance,Financial,Diversified financial,not inherited
Ina Chan,1,Hong Kong,casinos,2674,67,Gambling & Casinos,1962,relation,new,female,East Asia,inherited,Financial,Real Estate,spouse/widow
David Harding,1,United Kingdom,finance,2674,59,Finance & Investments,1997,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Morris Kahn,1,Israel,software,2674,91,Technology,1982,investor,new,male,Middle East/North Africa,executive,New Sectors,Technology-Computer,not inherited
T.S. Kalyanaraman,1,India,jewelry,2674,73,Fashion & Retail,1993,founder,new,male,South Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Lev Kvetnoi,1,Russia,cement,2674,55,Finance & Investments,1937,owner,privatization,male,Europe,privatized and resources,Non-Traded Sectors,Constrution,not inherited
Jose Llado Fernandez-Urrutia,1,Spain,construction,2674,87,Construction & Engineering,1960,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,Constrution,not inherited
Mofatraj Munot,1,India,real estate,2674,76,Real Estate,1969,founder,new,male,South Asia,self-made finance,Financial,Real Estate,not inherited
Jorge Rodriguez Rodriguez,1,Peru,processed milk,2674,75,Diversified,1967,founder,new,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Alan Rydge,1,Australia,entertainment,2674,68,Media & Entertainment,1913,relation,new,male,North America,inherited,Non-Traded Sectors,Media,father
Surin Upatkoon,1,Thailand,"telecom, lotteries, insurance",2674,71,Diversified,1983,owner,new,male,East Asia,executive,Non-Traded Sectors,Media,not inherited
Murat Vargi,1,Turkey,telecom,2674,73,Telecom,1993,founder,new,male,Middle East/North Africa,founder non-finance,Non-Traded Sectors,Media,not inherited
